studentid,school,sex,age,address,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences
3851216,GP,M,15,U,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4
9839633,GP,M,15,U,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2
4104223,GP,F,16,U,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2
4224640,GP,F,16,R,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6
6468613,GP,F,16,U,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6
9236823,GP,F,16,U,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4
7177837,GP,F,16,U,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2
3181766,GP,F,15,U,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0
9920948,GP,F,16,U,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2
7068165,GP,M,15,U,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4
3396676,GP,F,16,U,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4
1870439,GP,F,15,R,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2
8927988,GP,F,15,R,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12
6123113,GP,M,16,U,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0
7999775,GP,M,15,U,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0
2474261,GP,F,15,R,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2
2001341,GP,M,16,U,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2
3340237,GP,F,16,U,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54
1351172,GP,M,15,U,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6
1954042,GP,M,15,U,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8
4521529,GP,F,16,U,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0
9511518,GP,M,17,U,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2
9780067,GP,F,16,U,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12
4462658,GP,M,15,U,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2
9944657,GP,M,15,U,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4
6835372,GP,F,15,U,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10
3785648,GP,M,15,U,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4
9339146,GP,F,15,U,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2
3186929,GP,F,15,U,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6
6455077,GP,F,16,U,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4
6948316,GP,F,15,U,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4
4065823,GP,M,16,U,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12
2724090,GP,M,16,U,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18
8226924,GP,F,16,U,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0
9989076,GP,F,15,U,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4
8530664,GP,F,16,U,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4
1373179,GP,F,16,U,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0
8451145,GP,M,15,U,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6
5194211,GP,F,15,R,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2
1049817,GP,M,16,R,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2
3656358,GP,F,16,U,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2
9947939,GP,F,16,U,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6
7737931,GP,F,16,U,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0
5802956,GP,M,16,U,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14
3732974,GP,M,16,U,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0
9718916,GP,M,15,U,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4
4542385,GP,F,15,U,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26
8556039,GP,M,15,U,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0
9498196,GP,F,15,U,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10
5606746,GP,F,15,U,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8
2897826,GP,M,16,U,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2
2325542,GP,M,15,R,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6
3499792,GP,F,16,U,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4
4540587,GP,M,15,U,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6
1590354,GP,F,16,R,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0
9378213,GP,F,16,U,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6
4468059,GP,M,15,U,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10
1466558,GP,M,15,R,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8
7567354,GP,M,16,U,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2
2393897,GP,M,15,U,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2
5851490,GP,M,16,U,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0
9508538,GP,M,17,R,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20
2797014,GP,M,15,U,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6
5361566,GP,F,15,U,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2
7061068,GP,M,15,U,home,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6
9296343,GP,F,16,U,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2
9882634,GP,M,16,U,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18
5605949,GP,F,16,U,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,0
7471314,GP,M,15,U,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0
4006406,GP,F,15,U,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0
5077183,GP,F,19,U,course,other,1,2,3,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,2
6885585,GP,M,18,R,reputation,mother,1,1,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,4,0
9398605,GP,M,16,R,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8
1448001,GP,F,15,R,course,father,2,3,2,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0
9114973,GP,F,15,U,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0
3312693,GP,F,17,U,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,12
3516160,GP,F,16,U,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,16
1265909,GP,M,15,R,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,0
9795214,GP,F,15,U,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,0
8266505,GP,M,17,R,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,0
6779437,GP,F,16,U,course,other,2,1,2,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,0
1571517,GP,M,16,U,course,mother,1,2,1,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0
9985157,GP,F,15,U,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0
7209579,GP,M,15,U,course,father,2,4,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,3,0
9870554,GP,M,16,U,reputation,father,2,1,2,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,2,8
9785644,GP,F,15,U,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,2
4812966,GP,F,16,U,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,2
1607529,GP,M,17,U,home,mother,1,1,3,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,0
3779413,GP,F,15,U,course,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,2,5,0
9261403,GP,F,15,U,home,father,1,2,3,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,3,0
9095624,GP,F,15,U,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,1,5,2
3899879,GP,M,16,U,course,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,0
7367799,GP,M,15,U,course,mother,4,1,3,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,0
5124322,GP,M,18,U,course,mother,1,1,3,no,no,no,no,yes,no,yes,yes,2,3,5,2,5,4,0
4649907,GP,M,16,U,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6
5867118,GP,F,15,R,reputation,other,2,3,2,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,8
3578133,GP,M,19,U,home,mother,1,1,3,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,4,0
1199841,GP,F,17,U,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0
6266475,GP,M,15,R,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,2
2061496,GP,M,17,R,reputation,mother,1,1,0,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,8
3025253,GP,F,18,R,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,6
8227764,GP,M,16,R,course,mother,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,2
3248038,GP,M,16,U,course,father,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4,5,5,4,4,5,4
5496388,GP,M,17,R,course,mother,2,1,2,no,no,no,yes,yes,no,yes,yes,3,3,2,2,2,5,0
8383998,GP,M,15,R,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,6
6163089,GP,M,16,U,course,mother,2,1,1,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,0
4257484,GP,M,17,U,course,father,1,1,0,no,no,no,no,yes,no,yes,no,5,3,3,1,4,2,2
1424764,GP,M,17,R,course,mother,4,2,3,no,no,no,yes,yes,no,no,yes,5,3,5,1,5,5,0
5676239,GP,M,16,U,course,mother,2,1,1,no,yes,no,yes,no,no,no,no,4,5,2,1,1,2,16
5484811,GP,M,16,U,course,father,1,2,0,no,no,no,no,yes,no,yes,no,4,3,5,2,4,4,4
6737258,GP,F,16,U,home,father,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,2,3,1,1,3,0
4266566,GP,F,16,U,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,1,5,1,1,4,0
9106392,GP,F,16,U,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,4,2,1,1,3,0
2659591,GP,M,16,U,course,father,3,1,2,no,yes,no,yes,no,yes,yes,no,3,4,5,2,4,2,0
2454139,GP,M,16,U,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,1,3,2
7774872,GP,M,17,U,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,3,5,0
3970801,GP,F,16,U,home,mother,1,2,3,no,no,no,yes,no,yes,yes,yes,4,3,5,1,1,3,0
3397742,GP,F,16,U,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,5,1,1,4,4
2268848,GP,M,17,U,course,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,4,4,4,4
7247271,GP,F,16,U,reputation,mother,2,2,0,no,no,yes,yes,no,yes,yes,no,3,4,4,1,4,5,2
7573313,GP,M,17,U,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,no,4,3,4,1,4,4,4
1111273,GP,M,16,R,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,3,4,3,10
6734680,GP,M,17,U,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,2,3,1,1,2,4
5639102,GP,M,16,U,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,4,3,2,3,3,10
1280188,GP,M,16,U,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,1,2,3,2
7778221,GP,F,17,U,reputation,father,1,2,0,no,yes,no,yes,yes,yes,no,no,5,4,2,2,3,5,0
3267669,GP,F,17,U,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,3,3,2,3,1,56
2798532,GP,F,16,U,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,1,2,2,1,2,1,14
4835027,GP,M,17,U,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,2,3,4,12
9521086,GP,M,16,U,other,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,3,3,3,1,2,3,2
7801326,GP,M,16,U,course,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,1,2,5,0
2087388,GP,F,17,U,reputation,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,3,3,3,1,3,3,6
1153298,GP,M,17,R,home,mother,1,2,0,no,no,no,no,yes,yes,no,no,3,1,3,1,5,3,4
2873600,GP,F,16,U,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,2,10
5926457,GP,F,17,U,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,3,0
2664546,GP,M,17,U,other,other,2,2,0,no,no,yes,yes,no,yes,yes,no,4,4,4,4,5,5,12
5564003,GP,M,16,R,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,3,4,5,8
9926689,GP,M,16,U,home,father,2,1,0,no,no,no,no,yes,yes,yes,no,5,3,3,1,1,3,0
4361541,GP,F,17,U,course,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,1,1,5,0
3999535,GP,M,17,U,home,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,2,3,1,2,5,4
9144354,GP,M,16,R,home,father,3,1,0,no,yes,yes,yes,yes,yes,yes,no,3,3,4,3,5,3,8
5739411,GP,F,17,U,home,mother,2,1,1,no,yes,no,no,yes,yes,yes,no,4,2,4,2,3,2,24
1562382,GP,F,16,U,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,5,2,1,2,3,0
4768658,GP,F,16,U,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,1,5,2,2
2330971,GP,F,16,U,reputation,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,no,4,4,3,1,3,4,6
3282645,GP,F,17,U,course,mother,1,2,0,no,yes,yes,no,no,yes,no,no,4,4,4,1,3,1,4
1131556,GP,F,17,R,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,3,2,1,2,3,18
4062795,GP,F,16,R,reputation,mother,2,4,0,no,yes,yes,yes,no,yes,yes,no,5,3,5,1,1,5,6
9622893,GP,F,17,U,home,mother,1,3,1,no,yes,yes,no,yes,yes,yes,yes,4,4,3,3,4,5,28
9310465,GP,F,16,U,course,mother,1,2,3,no,yes,yes,no,yes,yes,yes,no,2,3,3,2,2,4,5
8361831,GP,F,16,U,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,1,3,2,1,1,1,10
9285958,GP,F,16,U,home,mother,2,1,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,4,5,6
5502376,GP,F,17,R,reputation,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,2,1,1,4,6
3651802,GP,F,19,U,reputation,other,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,2,3,10
1313308,GP,M,17,U,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5,3,5,4,5,3,13
6581863,GP,F,16,U,reputation,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,1,1,4,0
4943379,GP,M,18,U,home,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,no,4,4,4,2,4,5,15
8686407,GP,F,17,R,other,mother,1,1,0,no,yes,yes,no,yes,yes,no,no,5,2,1,1,2,3,12
1084992,GP,F,17,U,reputation,mother,2,2,0,no,no,yes,no,yes,yes,yes,no,4,4,4,1,3,1,2
4139226,GP,F,17,U,reputation,mother,1,2,2,no,no,yes,no,yes,yes,yes,yes,3,4,5,2,4,1,22
7061032,GP,M,18,U,home,father,1,2,1,no,yes,yes,no,yes,yes,yes,no,3,2,4,2,4,4,13
5169774,GP,F,17,U,home,father,2,1,0,no,yes,yes,no,yes,yes,no,no,3,3,3,1,4,3,3
4155488,GP,F,17,U,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,4,4
6247581,GP,F,17,R,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,1,2,5,2
8667416,GP,F,17,U,reputation,mother,1,3,1,no,yes,no,yes,yes,yes,no,yes,4,3,4,1,1,5,0
6469951,GP,F,16,U,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,2,3,1,1,1,3,2
8731289,GP,M,18,U,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,5,5,4,0
9915879,GP,F,16,U,home,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,5,3,2,1,1,5,0
4475966,GP,F,18,R,reputation,mother,1,2,1,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,1,4,16
3561172,GP,F,17,U,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,3,3,10
5355456,GP,M,17,U,reputation,father,1,2,0,no,yes,yes,no,no,yes,yes,no,5,3,3,1,3,3,2
1282323,GP,M,18,U,course,mother,4,2,0,yes,yes,yes,yes,yes,yes,yes,yes,4,3,2,4,5,3,14
1582038,GP,F,17,U,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,3,10
9069879,GP,F,17,U,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,3,14
1889106,GP,M,17,R,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,5,2,1,1,1,4
7287988,GP,M,17,U,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,5,5,1,3,2,14
1210459,GP,M,16,U,reputation,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,4,2,4,1,2
